datetime,kp
2012-07-10 23:53:31,0.916693
2012-07-11 00:03:31,0.911141
2012-07-11 00:13:31,0.905314
2012-07-11 00:23:31,0.899169
2012-07-11 00:33:31,0.892685
2012-07-11 00:43:31,0.885804
2012-07-11 00:53:31,0.878469
2012-07-11 01:03:31,0.870584
2012-07-11 01:13:31,0.862066
2012-07-11 01:23:30,0.852908
2012-07-11 01:33:30,0.843997
2012-07-11 01:43:30,0.84046
2012-07-11 01:53:30,0.84798
2012-07-11 02:03:30,0.859168
2012-07-11 02:13:30,0.86997
2012-07-11 02:23:30,0.879902
2012-07-11 02:33:30,0.889025
2012-07-11 02:43:30,0.897467
2012-07-11 02:53:30,0.905322
2012-07-11 03:03:30,0.912653
2012-07-11 03:13:30,0.919518
2012-07-11 03:23:30,0.925958
2012-07-11 03:33:30,0.932008
2012-07-11 03:43:30,0.937691
2012-07-11 03:53:30,0.94303
2012-07-11 04:03:30,0.948039
2012-07-11 04:13:30,0.952732
2012-07-11 04:23:30,0.957124
2012-07-11 04:33:30,0.961226
2012-07-11 04:43:30,0.965045
2012-07-11 04:53:30,0.968604
2012-07-11 05:03:30,0.971909
2012-07-11 05:13:30,0.974964
2012-07-11 05:23:30,0.977796
2012-07-11 05:33:30,0.980401
2012-07-11 05:43:30,0.982808
2012-07-11 05:53:30,0.985021
2012-07-11 06:03:30,0.987047
2012-07-11 06:13:30,0.988909
2012-07-11 06:23:30,0.990614
2012-07-11 06:33:30,0.992174
2012-07-11 06:43:30,0.993601
2012-07-11 06:53:30,0.994901
2012-07-11 07:03:30,0.996093
2012-07-11 07:13:30,0.997186
2012-07-11 07:23:30,0.998189
2012-07-11 07:33:30,0.999112
2012-07-11 07:43:30,0.999957
2012-07-11 07:53:30,1.00074
2012-07-11 08:03:30,1.00148
2012-07-11 08:13:30,1.00216
2012-07-11 08:23:30,1.00281
2012-07-11 08:33:31,1.00342
2012-07-11 08:43:31,1.00399
2012-07-11 08:53:31,1.00454
2012-07-11 09:03:31,1.00505
2012-07-11 09:13:31,1.00554
2012-07-11 09:23:31,1.00599
2012-07-11 09:33:31,1.00642
2012-07-11 09:43:31,1.00683
2012-07-11 09:53:32,1.00721
2012-07-11 10:03:31,1.00759
2012-07-11 10:13:31,1.00795
2012-07-11 10:23:31,1.0083
2012-07-11 10:33:31,1.00866
2012-07-11 10:43:31,1.00903
2012-07-11 10:53:31,1.00942
2012-07-11 11:03:30,1.00983
2012-07-11 11:13:30,1.01027
2012-07-11 11:23:30,1.01076
2012-07-11 11:33:30,1.0113
2012-07-11 11:43:30,1.0119
2012-07-11 11:53:30,1.01256
2012-07-11 12:03:30,1.0133
2012-07-11 12:13:29,1.01412
2012-07-11 12:23:29,1.01503
2012-07-11 12:33:29,1.01604
2012-07-11 12:43:29,1.01714
2012-07-11 12:53:29,1.01834
2012-07-11 13:03:29,1.01964
2012-07-11 13:13:29,1.02105
2012-07-11 13:23:29,1.02254
2012-07-11 13:33:29,1.02412
2012-07-11 13:43:29,1.02575
2012-07-11 13:53:29,1.02742
2012-07-11 14:03:29,1.02919
2012-07-11 14:13:28,1.03116
2012-07-11 14:23:28,1.03344
2012-07-11 14:33:28,1.0362
2012-07-11 14:43:28,1.03952
2012-07-11 14:53:28,1.04353
2012-07-11 15:03:28,1.04829
2012-07-11 15:13:28,1.0538
2012-07-11 15:23:28,1.06028
2012-07-11 15:33:28,1.06803
2012-07-11 15:43:28,1.07772
2012-07-11 15:53:28,1.0903
2012-07-11 16:03:28,1.1071
2012-07-11 16:13:28,1.13004
2012-07-11 16:23:28,1.16128
2012-07-11 16:33:27,1.20224
2012-07-11 16:43:27,1.25388
2012-07-11 16:53:27,1.31517
2012-07-11 17:03:27,1.38491
2012-07-11 17:13:27,1.46174
2012-07-11 17:23:27,1.54504
2012-07-11 17:33:27,1.63409
2012-07-11 17:43:27,1.72886
2012-07-11 17:53:27,1.83075
2012-07-11 18:03:27,1.94163
2012-07-11 18:13:27,2.06434
2012-07-11 18:23:27,2.20081
2012-07-11 18:33:27,2.35107
2012-07-11 18:43:27,2.51462
2012-07-11 18:53:26,2.68674
2012-07-11 19:03:26,2.86121
2012-07-11 19:13:26,3.03107
2012-07-11 19:23:26,3.19016
2012-07-11 19:33:26,3.33452
2012-07-11 19:43:26,3.46158
2012-07-11 19:53:26,3.57018
2012-07-11 20:03:26,3.66212
2012-07-11 20:13:26,3.73487
2012-07-11 20:23:26,3.78478
2012-07-11 20:33:26,3.82302
2012-07-11 20:43:26,3.84865
2012-07-11 20:53:26,3.86134
2012-07-11 21:03:26,3.86004
2012-07-11 21:13:26,3.84396
2012-07-11 21:23:26,3.81426
2012-07-11 21:33:26,3.77285
2012-07-11 21:43:26,3.72251
2012-07-11 21:53:26,3.66742
2012-07-11 22:03:26,3.60918
2012-07-11 22:13:26,3.54952
2012-07-11 22:23:26,3.48994
2012-07-11 22:33:26,3.43213
2012-07-11 22:43:26,3.37765
2012-07-11 22:53:26,3.32719
2012-07-11 23:03:26,3.28046
2012-07-11 23:13:26,3.23646
2012-07-11 23:23:26,3.19464
2012-07-11 23:33:25,3.15477
2012-07-11 23:43:25,3.11686
2012-07-11 23:53:25,3.08107
2012-07-12 00:03:25,3.04724
2012-07-12 00:13:25,3.01502
2012-07-12 00:23:25,2.9838
2012-07-12 00:33:25,2.95306
2012-07-12 00:43:25,2.92234
2012-07-12 00:53:24,2.89138
2012-07-12 01:03:24,2.86041
2012-07-12 01:13:24,2.82773
2012-07-12 01:23:24,2.78672
2012-07-12 01:33:24,2.74684
2012-07-12 01:43:24,2.70829
2012-07-12 01:53:24,2.67112
2012-07-12 02:03:23,2.6353
2012-07-12 02:13:23,2.60057
2012-07-12 02:23:23,2.56694
2012-07-12 02:33:23,2.53444
2012-07-12 02:43:23,2.50321
2012-07-12 02:53:23,2.47329
2012-07-12 03:03:22,2.44462
2012-07-12 03:13:22,2.41707
2012-07-12 03:23:22,2.39041
2012-07-12 03:33:22,2.36447
2012-07-12 03:43:22,2.33915
2012-07-12 03:53:22,2.31429
2012-07-12 04:03:21,2.2899
2012-07-12 04:13:21,2.2659
2012-07-12 04:23:21,2.24232
2012-07-12 04:33:21,2.21923
2012-07-12 04:43:21,2.19655
2012-07-12 04:53:20,2.17423
2012-07-12 05:03:20,2.15213
2012-07-12 05:13:20,2.13015
2012-07-12 05:23:20,2.10822
2012-07-12 05:33:20,2.0864
2012-07-12 05:43:20,2.06476
2012-07-12 05:53:20,2.04335
2012-07-12 06:03:20,2.02227
2012-07-12 06:13:19,2.00157
2012-07-12 06:23:19,1.98123
2012-07-12 06:33:19,1.96125
2012-07-12 06:43:19,1.94163
2012-07-12 06:53:19,1.92232
2012-07-12 07:03:19,1.90329
2012-07-12 07:13:19,1.88457
2012-07-12 07:23:19,1.86608
2012-07-12 07:33:19,1.84785
2012-07-12 07:43:19,1.82995
2012-07-12 07:53:19,1.81245
2012-07-12 08:03:19,1.79538
2012-07-12 08:13:19,1.77882
2012-07-12 08:23:19,1.76278
2012-07-12 08:33:19,1.74718
2012-07-12 08:43:19,1.73197
2012-07-12 08:53:19,1.71704
2012-07-12 09:03:19,1.70233
2012-07-12 09:13:19,1.68778
2012-07-12 09:23:19,1.67333
2012-07-12 09:33:19,1.65897
2012-07-12 09:43:19,1.64468
2012-07-12 09:53:19,1.63044
2012-07-12 10:03:19,1.6163
2012-07-12 10:13:19,1.60224
2012-07-12 10:23:19,1.58826
2012-07-12 10:33:18,1.57439
2012-07-12 10:43:18,1.56064
2012-07-12 10:53:18,1.54701
2012-07-12 11:03:18,1.5335
2012-07-12 11:13:18,1.52012
2012-07-12 11:23:18,1.50688
2012-07-12 11:33:18,1.49378
2012-07-12 11:43:18,1.48082
2012-07-12 11:53:17,1.46799
2012-07-12 12:03:17,1.45528
2012-07-12 12:13:17,1.44268
2012-07-12 12:23:17,1.43017
2012-07-12 12:33:17,1.41775
2012-07-12 12:43:17,1.40542
2012-07-12 12:53:17,1.39319
2012-07-12 13:03:16,1.38107
2012-07-12 13:13:16,1.36907
2012-07-12 13:23:16,1.35721
2012-07-12 13:33:16,1.3455
2012-07-12 13:43:16,1.33396
2012-07-12 13:53:17,1.32261
2012-07-12 14:03:17,1.31141
2012-07-12 14:13:17,1.30037
2012-07-12 14:23:17,1.28946
2012-07-12 14:33:17,1.27863
2012-07-12 14:43:17,1.26785
2012-07-12 14:53:18,1.25708
2012-07-12 15:03:18,1.2463
2012-07-12 15:13:18,1.2355
2012-07-12 15:23:19,1.22467
2012-07-12 15:33:19,1.2138
2012-07-12 15:43:19,1.20292
2012-07-12 15:53:20,1.19204
2012-07-12 16:03:20,1.18118
2012-07-12 16:13:20,1.17036
2012-07-12 16:23:21,1.1596
2012-07-12 16:33:21,1.14892
2012-07-12 16:43:21,1.13832
2012-07-12 16:53:22,1.12785
2012-07-12 17:03:22,1.11747
2012-07-12 17:13:22,1.10722
2012-07-12 17:23:23,1.09708
2012-07-12 17:33:23,1.08705
2012-07-12 17:43:23,1.07713
2012-07-12 17:53:23,1.06731
2012-07-12 18:03:24,1.05759
2012-07-12 18:13:24,1.04796
2012-07-12 18:23:24,1.0384
2012-07-12 18:33:24,1.02893
2012-07-12 18:43:25,1.01952
2012-07-12 18:53:25,1.01017
2012-07-12 19:03:25,1.00087
2012-07-12 19:13:25,0.991627
2012-07-12 19:23:25,0.982442
2012-07-12 19:33:26,0.973327
2012-07-12 19:43:26,0.964297
2012-07-12 19:53:26,0.955385
2012-07-12 20:03:26,0.946615
2012-07-12 20:13:26,0.938011
2012-07-12 20:23:26,0.92958
2012-07-12 20:33:27,0.919737
2012-07-12 20:43:27,0.910002
2012-07-12 20:53:27,0.900598
2012-07-12 21:03:27,0.891505
2012-07-12 21:13:27,0.882685
2012-07-12 21:23:28,0.874107
2012-07-12 21:33:28,0.865752
2012-07-12 21:43:28,0.857591
2012-07-12 21:53:29,0.84961
